topic,summary
Serial comma,"In English-language punctuation, a serial comma (also called a series comma, Oxford comma, or Harvard comma) is a comma placed immediately after the penultimate term (i.e., before the coordinating conjunction, such as and or or) in a series of three or more terms. For example, a list of three countries might be punctuated either as ""France, Italy and Spain"" (without the serial comma) or ""France, Italy, and Spain"" (with the serial comma).Opinions among writers and editors differ on whether to use the serial comma, and usage also differs somewhat between regional varieties of English. British English allows constructions with or without this comma, whereas in American English it is common and sometimes even considered mandatory. A majority of American style guides mandate use of the serial comma, including APA style, The Chicago Manual of Style, Garner's Modern American Usage, The MLA Style Manual, Strunk and White's The Elements of Style, and the U.S. Government Printing Office Style Manual. By contrast, the Associated Press Stylebook and The New York Times Style Book advise against it. In Canada, the stylebook published by The Canadian Press advises against it. Most British style guides do not mandate its use. The Economist Style Guide notes that most British writers use it only where necessary to avoid ambiguity. A few British style guides mandate it, most notably The Oxford Style Manual (hence the name, ""Oxford comma"").  However, the University of Oxford Style Guide (2014) advises against its use.The Oxford Companion to the English Language notes: ""Usage varies as to the inclusion of a comma before and in the last item. ... This practice is controversial and is known as the serial comma or Oxford comma, because it is part of the house style of Oxford University Press.""There are cases in which the use of the serial comma can avoid ambiguity, and also instances in which its use can introduce ambiguity."
List of algorithms,The following is a list of well-known algorithms along with one-line descriptions for each.
Boolean algebra,"In mathematics and mathematical logic, Boolean algebra is a branch of algebra. It differs from elementary algebra in two ways. First, the values of the variables are the truth values true and false, usually denoted 1 and 0, whereas in elementary algebra the values of the variables are numbers. Second, Boolean algebra uses logical operators such as conjunction (and) denoted as ∧, disjunction (or) denoted as ∨, and the negation (not) denoted as ¬. Elementary algebra, on the other hand, uses arithmetic operators such as addition, multiplication, subtraction and division. So Boolean algebra is a formal way of describing logical operations, in the same way that elementary algebra describes numerical operations.
Boolean algebra was introduced by George Boole in his first book The Mathematical Analysis of Logic (1847), and set forth more fully in his An Investigation of the Laws of Thought (1854).
According to Huntington, the term ""Boolean algebra"" was first suggested by Sheffer in 1913, although Charles Sanders Peirce gave the title ""A Boolean Algebra with One Constant"" to the first chapter of his ""The Simplest Mathematics"" in 1880.
Boolean algebra has been fundamental in the development of digital electronics, and is provided for in all modern programming languages. It is also used in set theory and statistics."
Fuzzy logic,"Fuzzy logic is a form of many-valued logic in which the truth value of variables may be any real number between 0 and 1. It is employed to handle the concept of partial truth, where the truth value may range between completely true and completely false. By contrast, in Boolean logic, the truth values of variables may only be the integer values 0 or 1.
The term fuzzy logic was introduced with the 1965 proposal of fuzzy set theory by Iranian Azerbaijani mathematician Lotfi Zadeh.  Fuzzy logic had, however,  been studied since the 1920s, as infinite-valued logic—notably by Łukasiewicz and Tarski.Fuzzy logic is based on the observation that people make decisions based on imprecise and non-numerical information. Fuzzy models or sets are mathematical means of representing vagueness and imprecise information (hence the term fuzzy). These models have the capability of recognising, representing, manipulating, interpreting, and using data and information that are vague and lack certainty.Fuzzy logic has been applied to many fields, from control theory to artificial intelligence."
Outline of logic,"Logic  is the formal science of using reason and is considered a branch of both philosophy and mathematics and to a lesser extent computer science. Logic investigates and classifies the structure of statements and arguments, both through the study of formal systems of inference and the study of arguments in natural language. The scope of logic can therefore be very large, ranging from core topics such as the study of fallacies and paradoxes, to specialized analyses of reasoning such as probability, correct reasoning, and arguments involving causality. One of the aims of logic is to identify the correct (or valid) and incorrect (or fallacious) inferences. Logicians study the criteria for the evaluation of arguments."
dictionary,"Wiktionary (UK:  WIK-shə-nər-ee, US:  WIK-shə-nerr-ee, rhyming with ""dictionary"") is a multilingual, web-based project to create a free content dictionary of terms (including words, phrases, proverbs, linguistic reconstructions, etc.) in all natural languages and in a number of artificial languages. These entries may contain definitions, images for illustration, pronunciations, etymologies, inflections, usage examples, quotations, related terms, and translations of terms into other languages, among other features. It is collaboratively edited via a wiki. Its name is a portmanteau of the words wiki and dictionary. It is available in 186 languages and in Simple English. Like its sister project Wikipedia, Wiktionary is run by the Wikimedia Foundation, and is written collaboratively by volunteers, dubbed ""Wiktionarians"". Its wiki software, MediaWiki, allows almost anyone with access to the website to create and edit entries.
Because Wiktionary is not limited by print space considerations, most of Wiktionary's language editions provide definitions and translations of terms from many languages, and some editions offer additional information typically found in thesauri.
Wiktionary's data is frequently used in various natural language processing tasks."
Dictionary,"Wiktionary (UK:  WIK-shə-nər-ee, US:  WIK-shə-nerr-ee, rhyming with ""dictionary"") is a multilingual, web-based project to create a free content dictionary of terms (including words, phrases, proverbs, linguistic reconstructions, etc.) in all natural languages and in a number of artificial languages. These entries may contain definitions, images for illustration, pronunciations, etymologies, inflections, usage examples, quotations, related terms, and translations of terms into other languages, among other features. It is collaboratively edited via a wiki. Its name is a portmanteau of the words wiki and dictionary. It is available in 186 languages and in Simple English. Like its sister project Wikipedia, Wiktionary is run by the Wikimedia Foundation, and is written collaboratively by volunteers, dubbed ""Wiktionarians"". Its wiki software, MediaWiki, allows almost anyone with access to the website to create and edit entries.
Because Wiktionary is not limited by print space considerations, most of Wiktionary's language editions provide definitions and translations of terms from many languages, and some editions offer additional information typically found in thesauri.
Wiktionary's data is frequently used in various natural language processing tasks."
Oxford English Dictionary,"The Oxford English Dictionary (OED) is the first and foundational historical dictionary of the English language, published by Oxford University Press (OUP). It traces the historical development of the English language, providing a comprehensive resource to scholars and academic researchers, as well as describing usage in its many variations throughout the world.Work began on the dictionary in 1857, but it was only in 1884 that it began to be published in unbound fascicles as work continued on the project, under the name of A New English Dictionary on Historical Principles; Founded Mainly on the Materials Collected by The Philological Society. In 1895, the title The Oxford English Dictionary was first used unofficially on the covers of the series, and in 1928 the full dictionary was republished in 10 bound volumes. In 1933, the title The Oxford English Dictionary fully replaced the former name in all occurrences in its reprinting as 12 volumes with a one-volume supplement. More supplements came over the years until 1989, when the second edition was published, comprising 21,728 pages in 20 volumes. Since 2000, compilation of a third edition of the dictionary has been underway, approximately half of which was complete by 2018.The first electronic version of the dictionary was made available in 1988. The online version has been available since 2000, and by April 2014 was receiving over two million visits per month. The third edition of the dictionary is expected to be available exclusively in electronic form; the Chief Executive of Oxford University Press has stated that it is unlikely that it will ever be printed."
Oxford dictionary,"The Oxford English Dictionary (OED) is the first and foundational historical dictionary of the English language, published by Oxford University Press (OUP). It traces the historical development of the English language, providing a comprehensive resource to scholars and academic researchers, as well as describing usage in its many variations throughout the world.Work began on the dictionary in 1857, but it was only in 1884 that it began to be published in unbound fascicles as work continued on the project, under the name of A New English Dictionary on Historical Principles; Founded Mainly on the Materials Collected by The Philological Society. In 1895, the title The Oxford English Dictionary was first used unofficially on the covers of the series, and in 1928 the full dictionary was republished in 10 bound volumes. In 1933, the title The Oxford English Dictionary fully replaced the former name in all occurrences in its reprinting as 12 volumes with a one-volume supplement. More supplements came over the years until 1989, when the second edition was published, comprising 21,728 pages in 20 volumes. Since 2000, compilation of a third edition of the dictionary has been underway, approximately half of which was complete by 2018.The first electronic version of the dictionary was made available in 1988. The online version has been available since 2000, and by April 2014 was receiving over two million visits per month. The third edition of the dictionary is expected to be available exclusively in electronic form; the Chief Executive of Oxford University Press has stated that it is unlikely that it will ever be printed."
Urban Dictionary,"Urban Dictionary is a crowdsourced English-language online dictionary for slang words and phrases, operating under the motto ""Define Your World"". The website was founded in 1999 by Aaron Peckham. Originally, Urban Dictionary was intended as a dictionary of slang or cultural words and phrases, not typically found in standard English dictionaries, but it is now used to define any word, event, or phrase (including sexually explicit content). Words or phrases on Urban Dictionary may have multiple definitions, usage examples, and tags. As of 2014, the dictionary contains over seven million definitions, while around 2,000 new entries were being added daily."
Chambers Dictionary,"The Chambers Dictionary (TCD) was first published by William and Robert Chambers as Chambers's English Dictionary in 1872. It was an expanded version of Chambers's Etymological Dictionary of 1867, compiled by James Donald. A second edition came out in 1898, and was followed in 1901 by a new compact edition called Chambers's Twentieth Century Dictionary.TCD is widely used by British crossword solvers and setters, and by Scrabble players (though it is no longer the official Scrabble dictionary). It contains many more dialectal, archaic, unconventional and eccentric words than its rivals, and is noted for its occasional wryly humorous definitions. Examples of such definitions include those for éclair (""a cake, long in shape but short in duration"") and middle-aged (""between youth and old age, variously reckoned to suit the reckoner""). These jocular definitions were removed by the publisher in the 1970s, but many of them were reinstated in 1983 because of the affection in which they were held by readers.
The twelfth edition of The Chambers Dictionary was published in August 2011 by Chambers Harrap Publishers Ltd and runs to 1936 pages with 62,500 main entries. This edition is available for mobile use as an iPhone, iPad, or Android app. That has been followed by the thirteenth edition published in 2014. Also on sale is the smaller 21st Century Dictionary of 1664 pages, where ""the focus is on the English that people use today, and definitions are given in straightforward, accessible language"". This dictionary can be accessed for free online."
The Free Dictionary,The Free Dictionary is an American online dictionary and encyclopedia that aggregates information from various sources.
Webster's Dictionary,"Webster's Dictionary is any of the English language dictionaries edited in the early 19th century by American lexicographer Noah Webster (1758–1843), as well as numerous related or unrelated dictionaries that have adopted the Webster's name in honor. ""Webster's"" has since become a genericized trademark in the United States for English dictionaries, and is widely used in dictionary titles.Merriam-Webster is the corporate heir to Noah Webster's original works, which are in the public domain."
Dictionary.com,"Dictionary.com is an online dictionary whose domain was first registered on May 14, 1995. The primary content on Dictionary.com is a proprietary dictionary based on Random House Unabridged Dictionary, with editors for the site providing new and updated definitions. Supplementary content comes from the Collins English Dictionary, American Heritage Dictionary and others."
The New Grove Dictionary of Music and Musicians,"The New Grove Dictionary of Music and Musicians is an encyclopedic dictionary of music and musicians. Along with the German-language Die Musik in Geschichte und Gegenwart, it is one of the largest reference works on the history and theory of music. Earlier editions were published under the titles A Dictionary of Music and Musicians, and Grove's Dictionary of Music and Musicians; the work has gone through several editions since the 19th century and is widely used. In recent years it has been made available as an electronic resource called Grove Music Online, which is now an important part of Oxford Music Online."
Collins English Dictionary,"The Collins English Dictionary is a printed and online dictionary of English. It is published by HarperCollins in Glasgow.The edition of the dictionary in 1979 with Patrick Hanks as editor and Laurence Urdang as editorial director, was the first British English dictionary to be typeset from the output from a computer database in a specified format. This meant that every aspect of an entry was handled by a different editor using different forms or templates. Once all the entries for an entry had been assembled, they were passed on to be keyed into the slowly assembled dictionary database which was completed for the typesetting of the first edition.In a later edition, they increasingly used the Bank of English established by John Sinclair at COBUILD to provide typical citations rather than examples composed by the lexicographer."
intersection,"In mathematics, the intersection of two or more objects is another object consisting of everything that is contained in all of the objects simultaneously. For example, in Euclidean geometry, when two lines in a plane are not parallel, their intersection is the point at which they meet. More generally, in set theory, the intersection of sets is defined to be the set of elements which belong to all of them. Unlike the Euclidean definition, this does not presume that the objects under consideration lie in a common space.
Intersection is one of the basic concepts of geometry. An intersection can have various geometric shapes, but a point is the most common in a plane geometry. Incidence geometry defines an intersection (usually, of flats) as an object of lower dimension that is incident to each of original objects. In this approach an intersection can be sometimes undefined, such as for parallel lines. In both cases the concept of intersection relies on logical conjunction. Algebraic geometry defines intersections in its own way with intersection theory."
Intersection,"In mathematics, the intersection of two or more objects is another object consisting of everything that is contained in all of the objects simultaneously. For example, in Euclidean geometry, when two lines in a plane are not parallel, their intersection is the point at which they meet. More generally, in set theory, the intersection of sets is defined to be the set of elements which belong to all of them. Unlike the Euclidean definition, this does not presume that the objects under consideration lie in a common space.
Intersection is one of the basic concepts of geometry. An intersection can have various geometric shapes, but a point is the most common in a plane geometry. Incidence geometry defines an intersection (usually, of flats) as an object of lower dimension that is incident to each of original objects. In this approach an intersection can be sometimes undefined, such as for parallel lines. In both cases the concept of intersection relies on logical conjunction. Algebraic geometry defines intersections in its own way with intersection theory."
Intersectionality,"Intersectionality is an analytical framework for understanding how aspects of a person's social and political identities combine to create different modes of discrimination and privilege. Intersectionality identifies multiple factors of advantage and disadvantage. Examples of these factors include gender, caste, sex, race, ethnicity, class, sexuality, religion, disability, weight, and physical appearance. These intersecting and overlapping social identities may be both empowering and oppressing.Intersectionality broadens the scope of the first and second waves of feminism, which largely focused on the experiences of women who were white, middle-class and cisgender, to include the different experiences of women of color, poor women, immigrant women, and other groups. Intersectional feminism aims to separate itself from white feminism by acknowledging women's differing experiences and identities.The term intersectionality was coined by Kimberlé Crenshaw in 1989.: 385  Intersectionality is a qualitative analytic framework developed in the late 20th century that identifies how interlocking systems of power affect those who are most marginalized in society. Activists use the framework to promote social and political egalitarianism. Intersectionality opposes analytical systems that treat each axis of oppression in isolation. In this framework, for instance, discrimination against black women cannot be explained as a simple combination of misogyny and racism, but as something more complicated. Intersectionality engages in similar themes as triple oppression, which is the oppression associated with being a poor or immigrant woman of color. Intersectional analysis aligns very closely with anarcha-feminist power analysis frameworks.
Criticism includes the framework's tendency to reduce individuals to specific demographic factors, and its use as an ideological tool against other feminist theories. Critics have characterized the framework as ambiguous and lacking defined goals. As it is based in standpoint theory, critics say the focus on subjective experiences can lead to contradictions and the inability to identify common causes of oppression."
Intersection (road),"An intersection or an at-grade junction is a junction where two or more roads converge, diverge, meet or cross at the same height, as opposed to an interchange, which uses bridges or tunnels to separate different roads. Major intersections are often delineated by gores and may be classified by road segments, traffic controls and lane design."
vocabulary,"A vocabulary is a set of familiar words within a person's language. A vocabulary, usually developed with age, serves as a useful and fundamental tool for communication and acquiring knowledge. Acquiring an extensive vocabulary is one of the largest challenges in learning a second language."
Vocabulary,"A vocabulary is a set of familiar words within a person's language. A vocabulary, usually developed with age, serves as a useful and fundamental tool for communication and acquiring knowledge. Acquiring an extensive vocabulary is one of the largest challenges in learning a second language."
English language,"English is a West Germanic language of the Indo-European language family, with its earliest forms spoken by the inhabitants of early medieval England. It is named after the Angles, one of the ancient Germanic peoples that migrated to the island of Great Britain. English is genealogically West Germanic, closest related to the Low Saxon and Frisian languages; however, its vocabulary is also distinctively influenced by dialects of French (about 29% of modern English words) and Latin (also about 29%), plus some grammar and a small amount of core vocabulary influenced by Old Norse (a North Germanic language). Speakers of English are called Anglophones.
The earliest forms of English, collectively known as Old English, evolved from a group of West Germanic (Ingvaeonic) dialects brought to Great Britain by Anglo-Saxon settlers in the 5th century and further mutated by Norse-speaking Viking settlers starting in the 8th and 9th centuries. Middle English began in the late 11th century after the Norman conquest of England, when considerable French (especially Old Norman) and Latin-derived vocabulary was incorporated into English over some three hundred years. Early Modern English began in the late 15th century with the start of the Great Vowel Shift and the Renaissance trend of borrowing further Latin and Greek words and roots into English, concurrent with the introduction of the printing press to London. This era notably culminated in the King James Bible and plays of William Shakespeare.Modern English grammar is the result of a gradual change from a typical Indo-European dependent-marking pattern, with a rich inflectional morphology and relatively free word order, to a mostly analytic pattern with little inflection, and a fairly fixed subject–verb–object word order. Modern English relies more on auxiliary verbs and word order for the expression of complex tenses, aspect and mood, as well as passive constructions, interrogatives and some negation.
Modern English has spread around the world since the 17th century as a consequence of the worldwide influence of the British Empire and the United States of America. Through all types of printed and electronic media of these countries, English has become the leading language of international discourse and the lingua franca in many regions and professional contexts such as science, navigation and law. English is the most spoken language in the world and the third-most spoken native language in the world, after Standard Chinese and Spanish. It is the most widely learned second language and is either the official language or one of the official languages in 59 sovereign states. There are more people who have learned English as a second language than there are native speakers. As of 2005, it was estimated that there were over 2 billion speakers of English. English is the majority native language in the United Kingdom, the United States, Canada, Australia, New Zealand and the Republic of Ireland (see Anglosphere), and is widely spoken in some areas of the Caribbean, Africa, South Asia, Southeast Asia, and Oceania. It is a co-official language of the United Nations, the European Union and many other world and regional international organisations. It is the most widely spoken Germanic language, accounting for at least 70% of speakers of this Indo-European branch."
Vocabulary development,"Vocabulary development is a process by which people acquire words. Babbling shifts towards meaningful speech as infants grow and produce their first words around the age of one year. In early word learning, infants build their vocabulary slowly. By the age of 18 months, infants can typically produce about 50 words and begin to make word combinations.
In order to build their vocabularies, infants must learn about the meanings that words carry. The mapping problem asks how infants correctly learn to attach words to referents. Constraints theories, domain-general views, social-pragmatic accounts, and an emergentist coalition model have been proposed to account for the mapping problem.
From an early age, infants use language to communicate. Caregivers and other family members use language to teach children how to act in society. In their interactions with peers, children have the opportunity to learn about unique conversational roles. Through pragmatic directions, adults often offer children cues for understanding the meaning of words.
Throughout their school years, children continue to build their vocabulary. In particular, children begin to learn abstract words. Beginning around age 3–5, word learning takes place both in conversation and through reading. Word learning often involves physical context, builds on prior knowledge, takes place in social context, and includes semantic support. The phonological loop and serial order short-term memory may both play an important role in vocabulary development."
Japanese language,"Japanese (日本語, Nihongo, [ɲihoŋɡo] (listen)) is spoken natively by about 128 million people, primarily by Japanese people and primarily in Japan, the only country where it is the national language. Japanese belongs to the Japonic or Japanese-Ryukyuan language family. There have been many attempts to group the Japonic languages with other families such as the Ainu, Austroasiatic, Koreanic, and the now-discredited Altaic, but none of these proposals has gained widespread acceptance.
Little is known of the language's prehistory, or when it first appeared in Japan. Chinese documents from the 3rd century AD recorded a few Japanese words, but substantial Old Japanese texts did not appear until the 8th century. From the Heian period (794–1185), there was a massive influx of Sino-Japanese vocabulary into the language, affecting the phonology of Early Middle Japanese. Late Middle Japanese (1185–1600) saw extensive grammatical changes and the first appearance of European loanwords. The basis of the standard dialect moved from the Kansai region to the Edo region (modern Tokyo) in the Early Modern Japanese period (early 17th century–mid 19th century). Following the end of Japan's self-imposed isolation in 1853, the flow of loanwords from European languages increased significantly, and words from English roots have proliferated.
Japanese is an agglutinative, mora-timed language with relatively simple phonotactics, a pure vowel system, phonemic vowel and consonant length, and a lexically significant pitch-accent. Word order is normally subject–object–verb with particles marking the grammatical function of words, and sentence structure is topic–comment. Sentence-final particles are used to add emotional or emphatic impact, or form questions. Nouns have no grammatical number or gender, and there are no articles. Verbs are conjugated, primarily for tense and voice, but not person. Japanese adjectives are also conjugated. Japanese has a complex system of honorifics, with verb forms and vocabulary to indicate the relative status of the speaker, the listener, and persons mentioned.
The Japanese writing system combines Chinese characters, known as kanji (漢字, 'Han characters'), with two unique syllabaries (or moraic scripts) derived by the Japanese from the more complex Chinese characters: hiragana (ひらがな or 平仮名, 'simple characters') and katakana (カタカナ or 片仮名, 'partial characters'). Latin script (rōmaji ローマ字) is also used in a limited fashion (such as for imported acronyms) in Japanese writing. The numeral system uses mostly Arabic numerals, but also traditional Chinese numerals."
